Title,Skills
Full Stack C# Developer,.NET Framework 1|AWS Amplify|AWS Certified Developer|AWS Lambda|Amazon Elasticsearch Service|Android ButterKnife|Angular (Web Framework)|Angular CLI|Angular Components|Angular Material|Azure API Apps|Azure Cosmos DB|Bulma CSS|CSS Codes|CSS Frameworks|D3.js (Javascript Library)|Easy Java Simulations|Eclipse (Software)|Elasticsearch|Flask (Web Framework)|Generic Java|Java 8|Java API For RESTful Web Services|Java Enterprise Edition|Java Full Stack Development|Java Management Extensions|Java Message Service (JMS)|Java Persistence API|Java Platform Enterprise Edition (J2EE)|Java Security|Java Servlet|Java Transaction API|JavaScript (Programming Language)|JavaScript Engine|JavaScript Frameworks|JavaScript Libraries|Jenkins 2|Kibana|Logstash|MongoDB|NoSQL|Oracle ATG Web Commerce
Full Stack Java Developer,AWS CodeBuild|AWS CodeCommit|AWS CodePipeline|Angular CLI|Angular Components|Angular Material|Angular Ui|Git Stash|J2C - Java To C++ Converter|Java 11|Java 7|Java 8|Java 9|Java API For RESTful Web Services|Java API For XML Processing|Java Architecture For XML Binding|Java Business Process Management|Java Concurrency|Java Database Connectivity|Java Development Kit|Java Development Tools|Java EE Application|Java Enterprise Edition|Java Foundation Classes|Java Full Stack Development|Java Keywords|Java Message Service (JMS)|Java Persistence API|Java Platform Enterprise Edition (J2EE)|Java Platform Standard Edition (J2SE)|Java Profiler|Java Servlet|Java Transaction API|Java Web Services|Java Web Start|Jenkins 2
Full Stack JavaScript Developer,JavaScript Libraries
GUI Developer,Angular Material|CSE HTML Validator|HTML Components|Object Oriented CSS
Golang Developer,AWS Batch|Linux On Embedded Systems
Hadoop Developer,Apache Hadoop|Cloudera Certified Developer For Hadoop (CCDH)|Hadoop Distributed File System (HDFS)
IBM MDM Developer,Embedded SQL
IIB Developer,Embedded SQL
IT Developer,Azure Internet Of Things (IoT)
IVR Developer,Cisco Unified Contact Center Enterprise
Informatica Developer,Informatica Cloud|Informatica Powercenter
Informatica MDM Developer,Informatica Master Data Management
J2EE Developer,Java Package|Object Oriented CSS
Java API Developer,Generics In Java|Java Development Tools
Java AWS Developer,Amazon Elastic Kubernetes Service|Java 11
Java Application Developer,Java Batch|Java Persistence Query Language
Java Back End Developer,Java Package|Java Secure Socket Extension
Java Cloud Developer,Java Logging Framework
Java Developer,AWS Elastic Beanstalk|AWS Internet Of Things (IoT)|AWS X-Ray|Amazon Elasticsearch Service|Angular (Web Framework)|Angular Ui|Docker Engine|Docker Hub|Eclipse (Software)|Generics In Java|Java 11|Java 7|Java 8|Java 9|Java API For RESTful Web Services|Java API For XML Processing|Java API For XML Registries|Java Advanced Imaging|Java Architecture For XML Binding|Java Architectures|Java Authentication And Authorization Services|Java Batch|Java Business Process Management|Java Concurrency|Java Cryptography Extension|Java Database Connectivity|Java Development Kit|Java Development Tools|Java EE Application|Java Enterprise Edition|Java Foundation Classes|Java Full Stack Development|Java Keywords|Java Management Extensions|Java Message Service (JMS)|Java Naming And Directory Interface|Java Native Interface|Java Object Oriented Querying|Java Package|Java Persistence API|Java Persistence Query Language|Java Platform Enterprise Edition (J2EE)|Java Platform Standard Edition (J2SE)|Java Profiler|Java Security|Java Servlet|Java Virtual Machine (JVM)|Java Web Services|Java Web Start|Java XML|MongoDB|Oracle Adf
Java Software Developer,Amazon Elastic Kubernetes Service|Java Cryptography Extension|Java Enterprise Edition|Java Message Service (JMS)|Java Persistence API|Oracle Access Manager
Java Web Developer,Java Web Start
Java/J2EE Developer,Java Architecture For XML Binding|Java Profiler
Java/SQL Developer,Java 7
JavaScript Developer,Bulma CSS
Kafka Developer,Hadoop Cloudera|Java Authentication And Authorization Services
Kernel Developer,Java Bytecode
Lead .NET Developer,.NET Remoting
Lead Android Developer,Android Emulators
Lead Informatica Developer,Informatica Cloud|Informatica Powercenter
Lead Java Application Developer,Java Business Process Management
Lead Java Developer,Java Business Process Management|Java Concurrency|Java Development Kit|Java Development Tools|Mimer SQL
Lead Python Developer,AWS CodeBuild|Flask (Web Framework)
Lead UI/UX Developer,Java Batch
Level Developer,LINQ To SQL
Linux Developer,Arch Linux
Linux Kernel Developer,C Shell
MDM Developer,Informatica Master Data Management
Microsoft CRM Developer,Azure API Apps
Microsoft Developer,Certified Linux Administrator|Microsoft Windows SDK
Mobile Android/iOS Developer,Android Emulators
Mobile Developer,Android Development|Android UI|Flutter (Software)|Kotlin
Mongodb Developer,MongoDB Certification|MongoDB Certified Developer
Mulesoft Developer,Java Web Services
Node.js Developer,Easy Java Simulations
Oracle ADF Developer,Oracle Adf
Oracle SQL Developer,DB2 SQL
PHP Developer,Composer PHP|NonStop SQL
Platform Developer,Azure Cognitive Services|Linux Mint
Portal Developer,Java Portlet Specification
Python Developer,Fedora Linux|Flask (Web Framework)|Hadoop Cloudera
Python Web Developer,Flask (Web Framework)
RPG Developer,Embedded SQL
React Developer,Generics In Java
React Native Developer,Android ButterKnife|Android Studio
Ruby on Rails Developer,HTML Abstraction Markup Language|Java Profiler|MySQL Workbench
SAP ABAP Developer,Native SQL
SQL Developer,Hierarchical And Recursive Queries In SQL
Sailpoint Developer,Java Database Connectivity|Java Servlet
Salesforce Developer,Amazon Linux Amazon Machine Image (AMI)|Informatica Cloud
Scala Developer,AWS Batch
Servicenow Developer,C Mathematical Functions (C Standard Library)|Dynamic HTML|Java Database Connectivity|Object-Oriented JavaScript
Sharepoint Application Developer,Azure Application Insights|Azure Web Apps
Sharepoint Developer,Facebook Graph API
Software Developer,.NET Development|.NET Framework|Android SDK|Angular (Web Framework)|Angular CLI|Associate Android Developer Certification|CSLA .NET (Software Development Framework)|Docker Engine|Eclipse (Software)|Eclipse Modeling Framework|Flask (Web Framework)|Flutter (Software)|HTML Document Object Models|Hadoop Cloudera|Java API For XML Processing|Java Bytecode|Java Compilers|Java Naming And Directory Interface|Java Platform Enterprise Edition (J2EE)|Java Secure Socket Extension|Java Security|JavaScript (Programming Language)|JavaScript Frameworks|LINQ To SQL|Managed Extensions For C++|Microsoft SQL Servers|Microsoft Windows NT|Native SQL|Oracle Access Manager
Software Developer Engineer,AWS Amplify|C Programming Language Certified Associate (CLA)|Docker Engine|Java Runtime Environment|Managed Extensions For C++
Software Developer Manager,.NET Remoting|AWS Inferentia
Software Developer Programmer Analyst,.NET Remoting
Software Developer/Consultant,Managed Extensions For C++
Software Tools Developer,C Shell
Systems Developer,Bulma CSS
Talend ETL Developer,Hadoop Cloudera
Test Automation Developer,Android Testing
UI/UX Developer,Angular Material
Unity Developer,ARCore
Web Developer,Angular Components|CSS Frameworks|HTML Emails|Java Web Start
Websphere Portal Developer,Java Portlet Specification
Windows Developer,Architecture Of Windows NT
Xamarin Developer,.NET MAUI (Multi-Platform App UI)
iOS Developer,ARKit
iOS Mobile Developer,.NET MAUI (Multi-Platform App UI)
iOS/Android Developer,Android ButterKnife
